polygonID,name,pop,type,wkt,notes
qc_01_swrcat,quebec est wwtp sewer catchment,296686.0,swrcat,"POLYGON ((-71.252979 46.9156699,-71.2635805 46.9118027,-71.244424 46.898128,-71.2580854 46.8923792,-71.2601245 46.893461,-71.2614993 46.8927582,-71.2662736 46.8960944,-71.2770469 46.8915401,-71.2811823 46.8939217,-71.2901472 46.8896432,-71.2889585 46.888483,-71.2927151 46.8868141,-71.2912532 46.8851813,-71.3075573 46.8786783,-71.3049092 46.8760681,-71.3045374 46.8725657,-71.3004308 46.8685053,-71.292742 46.8597232,-71.2930893 46.8598121,-71.3055806 46.8551245,-71.3149952 46.8652809,-71.3228158 46.8615008,-71.3159036 46.8549783,-71.3259508 46.8576811,-71.3293111 46.8616,-71.3375559 46.8578159,-71.3395161 46.8555196,-71.3454428 46.8533219,-71.3478571 46.8494704,-71.3442225 46.8433633,-71.3406977 46.835722,-71.3449804 46.8289178,-71.3399191 46.8250118,-71.3358045 46.8272326,-71.331733 46.8253636,-71.3279068 46.8256103,-71.3199837 46.8223086,-71.3198463 46.820265,-71.3193664 46.8166903,-71.3130242 46.8122813,-71.303979 46.8119801,-71.3032573 46.8063626,-71.2894393 46.7995946,-71.2868525 46.7972025,-71.284878 46.8003561,-71.2723748 46.801662,-71.2636138 46.7968124,-71.2507502 46.8008041,-71.2432779 46.794865,-71.2371569 46.7982271,-71.2346281 46.7960163,-71.2304883 46.7985071,-71.2317761 46.7993752,-71.2291372 46.8008159,-71.2277967 46.7999847,-71.2258921 46.8006906,-71.2248195 46.8000037,-71.2255564 46.7994513,-71.2253792 46.798138,-71.2269509 46.796412,-71.2290059 46.7950481,-71.2300425 46.7930699,-71.2262736 46.7915239,-71.2264178 46.7923627,-71.2100792 46.8006203,-71.2081997 46.8016915,-71.2021662 46.8069302,-71.1980987 46.8178398,-71.1941917 46.8249914,-71.197701 46.8250664,-71.1992108 46.8224565,-71.2132348 46.821792,-71.2131085 46.8228524,-71.2087916 46.8253836,-71.2099396 46.8273029,-71.2068637 46.8281889,-71.204176 46.8265679,-71.1920232 46.8309766,-71.1927496 46.8328987,-71.1911076 46.8361836,-71.1947841 46.8382805,-71.1953555 46.8390476,-71.2006842 46.8386298,-71.2034737 46.8372642,-71.2051655 46.8378317,-71.2016017 46.8444036,-71.2044167 46.8449643,-71.2025018 46.848829,-71.2002557 46.8488428,-71.1960666 46.8506021,-71.1823424 46.8533816,-71.1683672 46.8586654,-71.1589396 46.868545,-71.1550097 46.8687602,-71.1547803 46.8729997,-71.1431277 46.8852024,-71.1479781 46.8913398,-71.1480013 46.8932661,-71.1525347 46.8963227,-71.1561786 46.8955314,-71.1595342 46.8941636,-71.1657546 46.8972099,-71.1700587 46.9043126,-71.172312 46.9046847,-71.1690374 46.9126023,-71.1691337 46.9173591,-71.1641975 46.9232294,-71.1634947 46.9267385,-71.1662794 46.9278176,-71.1706428 46.927281,-71.1732917 46.9260241,-71.1728326 46.9233981,-71.1841903 46.9197528,-71.1882752 46.922503,-71.1931839 46.9270763,-71.2132718 46.9294838,-71.2332926 46.9268263,-71.2326755 46.9271928,-71.2377632 46.9251156,-71.2407111 46.9224678,-71.2453353 46.9177645,-71.252979 46.9156699))",this polygon encompasses the entire sewer network flowing in the east quebec wwtp.
qc_02_swrcat,quebec ouest wwtp sewer catchment,250918.0,swrcat,"POLYGON ((-71.2782469 46.9385754,-71.2875634 46.9341305,-71.2888104 46.9319313,-71.3000759 46.9296625,-71.3043325 46.9291946,-71.3135611 46.9328573,-71.3181815 46.9385447,-71.3596144 46.9380603,-71.3757141 46.9379385,-71.3833736 46.9382412,-71.4189899 46.9372377,-71.4096069 46.9248141,-71.4318852 46.9123057,-71.4397826 46.9137822,-71.4697788 46.8934969,-71.4606085 46.8835567,-71.4727745 46.8726658,-71.4841081 46.8779629,-71.5074005 46.8615781,-71.5125379 46.8590702,-71.5116578 46.8402757,-71.5117096 46.8149643,-71.4950867 46.8031211,-71.5118591 46.7998916,-71.511242 46.790019,-71.5118815 46.7679565,-71.5060149 46.7271215,-71.4522999 46.7314344,-71.446751 46.7345629,-71.4344439 46.7358197,-71.4170344 46.7336488,-71.4086557 46.735257,-71.3912534 46.7334669,-71.3705215 46.7336264,-71.3515674 46.7399341,-71.3455176 46.7472997,-71.3309278 46.7462506,-71.3203318 46.7497948,-71.3119186 46.7494695,-71.2939546 46.7476691,-71.2772068 46.7524076,-71.2666441 46.7586437,-71.2611195 46.76446,-71.2511131 46.7706908,-71.2410571 46.7734534,-71.2400357 46.7807806,-71.233932 46.7856362,-71.2316974 46.7877105,-71.2252851 46.7891752,-71.2262734 46.7915056,-71.2275556 46.7919721,-71.2300658 46.7928324,-71.2294004 46.7947352,-71.2271377 46.7964656,-71.2252987 46.7980838,-71.2255306 46.7995063,-71.2250054 46.7999842,-71.2257048 46.8006005,-71.2277694 46.7999301,-71.2293732 46.8005771,-71.2314308 46.7993956,-71.2302478 46.7984174,-71.2345729 46.7958706,-71.2372091 46.7981537,-71.2432238 46.7947924,-71.2505881 46.8006226,-71.2558314 46.7991642,-71.2633454 46.7966316,-71.2720956 46.8017602,-71.2852991 46.8000612,-71.287064 46.797128,-71.2894361 46.7993755,-71.3036804 46.8062136,-71.3040843 46.8119064,-71.3128082 46.8120638,-71.3195758 46.8164698,-71.3201964 46.8223071,-71.3279057 46.8255373,-71.3316266 46.8253643,-71.3359075 46.8270128,-71.3399168 46.8248658,-71.3447688 46.8289924,-71.3410112 46.8353546,-71.3477229 46.8493983,-71.3453392 46.8535052,-71.340046 46.8553697,-71.3365802 46.858389,-71.3292887 46.861874,-71.3253917 46.8576669,-71.31641 46.8550294,-71.323004 46.8616273,-71.315077 46.8654081,-71.3056623 46.8552517,-71.2924278 46.8600906,-71.3044969 46.8725294,-71.3049231 46.8761045,-71.3074114 46.8787158,-71.2913725 46.885144,-71.2928365 46.8869228,-71.2890262 46.8885556,-71.2903192 46.889569,-71.2814356 46.8939382,-71.2771435 46.8917768,-71.2666607 46.8961557,-71.261611 46.8931225,-71.259914 46.893645,-71.2579814 46.8925625,-71.2447425 46.8980529,-71.2636912 46.912094,-71.250647 46.9165615,-71.2449091 46.9177673,-71.2373449 46.9257024,-71.249158 46.9320516,-71.250484 46.9354019,-71.2520131 46.9380206,-71.2635258 46.9379444,-71.2681702 46.9347004,-71.2782469 46.9385754))",this polygon encompasses the entire sewer network flowing in the west quebec wwtp.
prov_qc_hlthreg_capitale-nationale,capitale-nationale,760147.0,hlthreg,"MULTIPOLYGON (((-69.8055115274144 48.1432558437943,-69.6680341424487 48.1163656032956,-69.5483689643073 48.0494512863291,-69.7198436581589 47.9455319388202,-69.8198791786249 47.8287816938624,-69.9105501220469 47.6793653395811,-70.0697812223075 47.5646980481488,-70.1494799359852 47.4529506651861,-70.2883759199689 47.3340623447768,-70.4549421067357 47.253504708329,-70.5243633516999 47.1648368792343,-70.6745378581401 47.0656711844991,-70.7061790223552 47.0008933393459,-70.8424633844774 46.9200604994215,-71.0001920267267 46.8474779657971,-71.1702272204829 46.8442627852627,-71.2328406754493 46.7712563583466,-71.3596792615633 46.7258684739836,-71.4884068570399 46.7076747906502,-71.6908323360125 46.6498419773854,-71.7746964130917 46.6482314013754,-71.8720333456522 46.6773982138246,-72.0241517256978 46.5770938176934,-72.0590975026799 46.5700658636759,-72.0830102974044 46.5701648544031,-72.3935598453043 46.7921055378211,-72.2723859371557 46.8450614700684,-72.2483187932594 46.8281788419134,-72.2284166418321 46.8351992148968,-72.1675103316374 46.8745804796592,-72.4359368824527 47.0574845014483,-72.3787454676386 47.0966700630236,-72.3943765802932 47.1176867264818,-72.4199702040287 47.1160147541613,-72.4599968418682 47.1430692379697,-72.5146939697403 47.1439855849619,-72.5441515981197 47.19180318038,-72.5419262709192 47.2200521827777,-72.5066810830278 47.3133691326947,-72.4739222313287 47.3330706540989,-72.4886004178859 47.3694094252051,-72.4622610134652 47.3873270880079,-72.4625594679994 47.371406436794,-72.4150914804381 47.3468495706617,-72.4137183439443 47.2925879931905,-72.3440350194445 47.2796250378472,-72.3206046388216 47.3029999707629,-72.238622306354 47.2909933109596,-72.2079440017391 47.325297390937,-72.2016962958124 47.360077416714,-72.141320196958 47.4105457976581,-72.1738631709569 47.4390861661724,-72.1632945462435 47.4694989040905,-72.2010515352979 47.4853967327269,-72.1958036944933 47.5007336576692,-72.2394188205623 47.5359067864936,-71.8905502350003 47.7701842213778,-72.0734703288598 47.9499900396805,-71.3800060217833 47.9500433560223,-71.3757799426915 47.9741844594162,-71.4088910852166 47.9765458296824,-71.4116289450232 47.9959929213248,-71.277741933277 47.9993571911557,-70.2636493739813 47.9929281966687,-70.1718752762529 48.1248259508549,-69.956658216509 48.0576020061349,-69.8702135019439 48.1815965461784,-69.8473184659173 48.1563397023412,-69.8055115274144 48.1432558437943)))",ce polygone décrit la région sociosanitaire de la capitale-nationale.
